Date,Portfolio,SPY
2015-01-02,100000.0,
2015-01-05,100000.0,98195.60362054779
2015-01-06,100000.0,97266.95662395675
2015-01-07,100000.0,98483.60173974377
2015-01-08,100000.0,100229.22299282945
2015-01-09,100000.0,99424.00376160811
2015-01-12,100000.0,98648.17209357003
2015-01-13,100000.0,98366.05148701074
2015-01-14,100000.0,97772.42271070887
2015-01-15,100000.0,96879.04078993775
2015-01-16,100000.0,98148.58351945461
2015-01-20,100000.0,98360.17397437408
2015-01-21,100000.0,98853.88503585287
2015-01-22,100000.0,100323.26319501593
2015-01-23,100000.0,99776.65451980726
2015-01-26,100000.0,100011.75502527335
2015-01-27,100000.0,98689.31468202661
2015-01-28,100000.0,97425.64946514639
2015-01-29,100000.0,98324.90889855417
2015-01-30,100000.0,97090.63124485723
2015-02-02,100000.0,98289.64382273426
2015-02-03,100000.0,99712.00188080409
2015-02-04,100000.0,99329.9635594217
2015-02-05,100000.0,100335.01822028923
2015-02-06,100000.0,100058.77512636659
2015-02-09,100000.0,99612.08416598101
2015-02-10,100000.0,100670.03644057842
2015-02-11,100000.0,100728.81156694493
2015-02-12,100000.0,101698.60115199254
2015-02-13,100000.0,102115.90454919483
2015-02-17,100000.0,102280.4749030211
2015-02-18,100000.0,102286.35241565776
2015-02-19,100000.0,102215.82226401793
2015-02-20,100000.0,102827.08357822974
2015-02-23,100000.0,102815.32855295646
2015-02-24,100000.0,103103.32667215241
2015-02-25,100000.0,103015.16398260264
2015-02-26,100000.0,102897.61372986958
2015-02-27,100000.0,102544.96297167047
2015-03-02,100000.0,103191.48936170219
2015-03-03,100000.0,102768.30845186324
2015-03-04,100000.0,102333.37251675098
2015-03-05,100000.0,102450.92276948402
2015-03-06,100000.0,101005.05466086758
2015-03-09,100000.0,101428.23557070654
2015-03-10,100000.0,99782.53203244395
2015-03-11,100000.0,99547.43152697786
2015-03-12,100000.0,100811.09674385808
2015-03-13,100000.0,100193.9579170096
2015-03-16,100000.0,101534.03079816629
2015-03-17,100000.0,101228.40014106038
2015-03-18,100000.0,102450.92276948404
2015-03-19,100000.0,101980.72175855187
2015-03-20,100000.0,102879.98119195964
2015-03-23,100000.0,102680.14576231346
2015-03-24,100000.0,102104.14952392154
2015-03-25,100000.0,100605.38380157524
2015-03-26,100000.0,100364.4057834725
2015-03-27,100000.0,100593.62877630196
2015-03-30,100000.0,101822.02891736227
2015-03-31,100000.0,100934.52450922778
2015-04-01,100000.0,100575.99623839199
2015-04-02,100000.0,100940.40202186443
2015-04-06,100000.0,101616.31597507941
2015-04-07,100000.0,101345.95039379342
2015-04-08,100000.0,101692.72363935591
2015-04-09,100000.0,102139.41459974145
2015-04-10,101212.2345854483,102697.77830022339
2015-04-13,101666.48568484814,102233.45480192787
2015-04-14,101434.10170634597,102427.41271893741
2015-04-15,101676.56253478932,102885.85870459628
2015-04-16,105097.57260035955,102856.47114141301
2015-04-17,103227.56100303517,101675.09110144593
2015-04-20,104895.53930001012,102603.73809803696
2015-04-21,104788.42685530733,102480.31033266727
2015-04-22,106882.32525934027,102985.77641941934
2015-04-23,106437.99862334743,103244.38697543206
2015-04-24,106128.00805038503,103485.36499353478
2015-04-27,105675.88830410587,103056.30657105918
2015-04-28,105701.51904362347,103379.56976607506
2015-04-29,106448.49225157248,102956.38885623611
2015-04-30,105300.3873143689,101927.82414482198
2015-05-01,106437.63273611234,103032.79652051261
2015-05-04,106508.3518160101,103320.79463970853
2015-05-05,105894.01560081748,102139.41459974145
2015-05-06,105276.05577466942,101722.11120253913
2015-05-07,106215.27262523772,102127.65957446813
2015-05-08,107412.22788297245,103467.73245562482
2015-05-11,107930.13865992172,102974.02139414602
2015-05-12,107126.00225604807,102668.39073704013
2015-05-13,107451.19880858446,102686.02327495009
2015-05-14,109207.8758377482,103761.60808745743
2015-05-15,109899.86783390112,103873.2808275538
2015-05-18,110849.2177060821,104196.54402256968
2015-05-19,110694.17916278697,104161.27894674976
2015-05-20,111036.7127869941,104084.87128247328
2015-05-21,111219.91583023538,104390.50193957922
2015-05-22,111420.9804339801,104137.76889620317
2015-05-26,110465.09159352137,103021.04149523925
2015-05-27,113068.34554905398,103996.70859292352
2015-05-28,113186.87246708198,103879.15834019048
2015-05-29,112701.15966438132,103238.50946279538
2015-06-01,112369.49171898348,103444.2224050782
2015-06-02,112833.7970544038,103344.30469025513
2015-06-03,114071.64921698906,103614.67027154112
2015-06-04,113557.02163335662,102744.7984013166
2015-06-05,113961.74989973256,102568.47302221703
2015-06-08,112878.96918258234,101933.7016574586
2015-06-09,113707.51060431186,101921.9466321853
2015-06-10,115933.61796338693,103144.46926060897
2015-06-11,115942.59936429925,103473.60996826149
2015-06-12,115226.3464641595,102686.02327495009
2015-06-15,114330.73988728663,102245.20982720118
2015-06-16,115180.20915811611,102797.69601504649
2015-06-17,114859.98827226207,102968.14388150939
2015-06-18,115910.55432625106,104037.85118138009
2015-06-19,115347.83933376956,103573.52768308457
2015-06-22,116558.40818371261,104108.38133301992
2015-06-23,117386.69566744124,104178.91148465974
2015-06-24,116535.13351572196,103420.71235453163
2015-06-25,116481.20354959226,103109.20418478907
2015-06-26,115909.44645117428,103085.69413424244
2015-06-29,114130.59938192723,100928.6469965911
2015-06-30,114442.21744364616,101140.23745151059
2015-07-01,114600.94608076836,101951.33419536859
2015-07-02,115055.10909276649,101857.29399318215
2015-07-06,114405.68598989338,101563.41836134954
2015-07-07,113996.08204621998,102204.06723874462
2015-07-08,111728.47221659003,100487.83354884219
2015-07-09,112957.34857808944,100670.03644057842
2015-07-10,115076.34981276754,101939.57917009528
2015-07-13,116624.7988989758,103062.18408369583
2015-07-14,117599.23469889852,103508.87504408139
2015-07-15,117354.40917492438,103479.48748089813
2015-07-16,122556.68958773064,104308.21676266608
2015-07-17,122298.28002544868,104396.37945221587
2015-07-20,121375.553235393,104449.27706594573
2015-07-21,121861.40096131293,104037.85118138007
2015-07-22,121956.7218002392,103849.77077700719
2015-07-23,121342.2672123628,103267.89702597863
2015-07-24,120313.7723110801,102192.31221347129
2015-07-27,119317.37258824387,101598.68343716943
2015-07-28,120293.78110315646,102850.59362877633
2015-07-29,121610.97679807144,103555.89514517458
2015-07-30,122474.91644942721,103579.40519572118
2015-07-31,122458.61279856882,103420.71235453158
2015-08-03,123481.85451869034,103073.93910896912
2015-08-04,125022.28883454808,102874.10367932294
2015-08-05,126057.11582711601,103209.12189961212
2015-08-06,124433.76192794795,102368.63759257084
2015-08-07,124955.29682421059,102168.8021629247
2015-08-10,125016.09276679193,103455.97743035152
2015-08-11,124259.79379840617,102521.4529211238
2015-08-12,124639.14504560376,102644.88068649347
2015-08-13,124698.09575672462,102521.45292112378
2015-08-14,124602.8906551973,102891.73621723287
2015-08-17,125507.92164794766,103467.73245562478
2015-08-18,124695.56218939784,103167.9793111555
2015-08-19,123709.40844619354,102351.00505466084
2015-08-20,120625.9452197088,100211.59045491945
2015-08-21,118318.97348888712,97196.4264723169
