Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,Ticker
2020-12-10,146.0,165.0,141.25,144.71,70447500,,,,,,,,,,ABNB
2020-12-11,146.55,151.5,135.1,139.25,26980800,,,,,,,,,-0.0384608609425079,ABNB
2020-12-14,135.0,135.3,125.16,130.0,16966100,,,,,,,,,-0.0687364283518109,ABNB
2020-12-15,126.69,127.6,121.5,124.8,10914400,,,,,,,,,-0.0408219945202551,ABNB
2020-12-16,125.83,142.0,124.91,137.99,20409600,,,,,,,,,0.1004687628281358,ABNB
2020-12-17,143.0,152.45,142.67,147.05,15054700,,,,,,,,,0.0635914462365409,ABNB
2020-12-18,150.45,159.0,150.3,157.3,15954200,,,,,,,,,0.067382145064228,ABNB
2020-12-21,155.31,172.0,145.11,163.02,17788100,,,,,,,,,0.0357180826020792,ABNB
2020-12-22,170.0,174.97,161.05,163.19,9872600,,,,,,,,,0.0010422734765318,ABNB
2020-12-23,162.81,168.25,155.5,158.01,5852500,,,,,,,,,-0.0322568439794355,ABNB
2020-12-24,159.16,162.79,154.11,154.84,3621400,,,,,,,,,-0.0202659964539601,ABNB
2020-12-28,158.6,163.64,147.52,149.0,6229200,,,,,,,,,-0.0384460197639881,ABNB
2020-12-29,150.0,151.65,143.12,150.0,5402300,,,,,,,,,0.0066889881507967,ABNB
2020-12-30,151.34,152.81,145.6,148.43,3462400,,,,,,,,,-0.0105218274595821,ABNB
2020-12-31,146.9,147.89,144.51,146.8,2795800,51.36262876515843,,,,,,,,-0.0110423504562583,ABNB
2021-01-04,150.99,151.01,137.0,139.15,6409900,46.38021139963952,,,,,,,,-0.0535186282085154,ABNB
2021-01-05,138.28,149.0,137.25,148.3,5974200,52.33585878135624,,,,,,,,0.0636847611719866,ABNB
2021-01-06,145.75,148.35,141.11,142.77,4213900,48.80745133817924,,,,,,,,-0.0380023053427576,ABNB
2021-01-07,146.37,154.42,145.26,151.27,4482800,53.94690201873862,,,,,,,,0.057831375772979,ABNB
2021-01-08,153.45,155.54,147.25,149.77,4615600,52.936892626091165,,,,,,,,-0.0099655355698037,ABNB
2021-01-11,147.99,150.5,144.02,148.13,2801900,51.79510612954241,,,147.32285714285717,,147.32285714285717,,,-0.0110105174103435,ABNB
2021-01-12,148.08,163.88,143.61,160.8,8123600,59.12935151813826,0.7870912462659764,,148.08904761904762,,148.54805194805195,,,0.0820710901509052,ABNB
2021-01-13,160.81,178.62,159.35,169.99,12529700,63.47074098351904,0.7890446661940353,,149.55285714285714,,150.4973199527745,,,0.0555782550458123,ABNB
2021-01-14,175.54,187.42,174.98,180.5,9926500,67.69679222229875,0.7534267847385338,,151.95761904761906,,153.2248363207041,,,0.0599911659822573,ABNB
2021-01-15,184.58,185.99,164.86,169.27,8575700,59.74351064936573,0.7794469267460384,,154.0752380952381,,154.68348756427645,,,-0.0642357045719297,ABNB
2021-01-19,173.0,178.6,166.6,173.69,4685400,61.65308216245447,0.7160279138886897,,155.7752380952381,,156.4113523311604,9.279914363416625,,0.0257770278649153,ABNB
2021-01-20,176.01,176.31,161.0,161.83,8517400,54.22093750448262,0.742314945818068,,156.4790476190476,,156.90395666469126,8.648575357692636,,-0.0707256995371271,ABNB
2021-01-21,164.99,183.47,155.33,180.4,17618400,61.954425354871866,0.7979650239913315,,157.57904761904763,,159.0399606042648,9.53674479357622,,0.1086302060997291,ABNB
2021-01-22,178.09,185.31,175.19,181.87,7136800,62.494548791162,0.7909390838179,,158.4766666666667,,161.11541873114982,10.24118814313087,,0.0081155385104031,ABNB
2021-01-25,186.05,192.47,170.03,177.53,7472900,59.79547788947527,0.7974010183644094,,159.15952380952382,,162.6076533919544,10.330182925338876,,-0.0241525374202202,ABNB
2021-01-26,180.0,193.0,177.3,192.74,6460900,65.4304308065553,0.8297291980962572,,160.81333333333333,,165.34695762904943,11.495518633047825,,0.0822025217044352,ABNB
2021-01-27,187.64,216.0,185.5,201.25,11019800,68.12249115719946,0.8302086080068162,,163.02333333333334,,168.61087057186313,12.956388277172492,,0.0432057858755313,ABNB
2021-01-28,202.6,212.84,187.05,187.37,7077700,59.92562263926875,0.8629611296896084,,164.8504761904762,,170.316245974421,12.846056650464844,,-0.0714626446882515,ABNB
2021-01-29,190.71,193.5,179.31,183.63,4529800,57.90385273096788,0.8696039236257028,,166.4519047619048,,171.52658724947366,12.314873106457782,10.849938027810907,-0.0201624080793329,ABNB
2021-02-01,187.48,188.82,179.74,180.44,3877400,56.16334520798676,0.8719839968961101,,167.97619047619048,,172.3368974995215,11.503890294412855,10.980728481131298,-0.0175245509908929,ABNB
2021-02-02,183.22,186.48,177.11,179.17,4413600,55.44875353251235,0.8709227068467917,,169.51761904761906,,172.95808863592865,10.636095894156426,10.911801963736323,-0.0070632367283884,ABNB
2021-02-03,181.98,190.9,180.0,185.72,4169000,58.3893267050533,0.8440852043504964,,171.7352380952381,,174.11826239629875,10.357498049007887,10.800941180790636,0.0359050873399143,ABNB
2021-02-04,187.07,195.99,186.19,195.8,3631500,62.49228118259381,0.8368137793549629,,173.99714285714285,,176.0893294511807,10.825291782307374,10.805811301093984,0.052853566944689,ABNB
2021-02-05,197.0,197.25,190.25,195.31,2869700,62.17135693406978,0.8182592738683243,,176.49904761904762,,177.836663137437,11.029343376404595,10.850517716156109,-0.00250569024761,ABNB
2021-02-08,199.93,201.96,191.5,200.43,3488100,64.23795970447618,0.8045173105116326,,178.84,,179.89060285221544,11.47195538458442,10.974805249841769,0.0258770187566957,ABNB
2021-02-09,199.2,209.22,196.16,199.88,4725800,63.83452866246441,0.8022614328324105,,181.22619047619048,,181.7078207747413,11.644121996296974,11.108668599132807,-0.0027478721294914,ABNB
2021-02-10,205.48,214.72,202.1,211.66,5257200,68.41053970424588,0.810537096375251,,184.25142857142856,,184.43074615885573,12.586028920045637,11.404140663315374,0.0572640271895741,ABNB
2021-02-11,213.5,219.94,207.0,216.84,3595200,70.19633533147895,0.7760474644615535,,186.92,,187.3770419625961,13.59377902930686,11.842068336513671,0.0241785407265591,ABNB
2021-02-12,214.46,216.94,209.0,212.68,3041700,66.92427373768595,0.7691412259014521,,188.95285714285717,,189.6773108750874,13.896560123123407,12.25296669383562,-0.0193710657559996,ABNB
2021-02-16,216.24,218.78,209.09,209.86,3487900,64.72186209034754,0.751643029213914,,190.3509523809524,,191.512100795534,13.75045915533724,12.552465186135944,-0.0133480469063727,ABNB
2021-02-17,207.05,208.76,196.02,201.96,4090600,58.87640130494541,0.7255681323154691,,191.90761904761905,,192.4619098141218,12.84909276570039,12.611790702048832,-0.03837098373905,ABNB
2021-02-18,199.01,200.36,192.17,198.04,2791400,56.16569453504784,0.7289014167264816,,193.06714285714284,,192.9690089219289,11.683759067088005,12.426184375056668,-0.0196006274974926,ABNB
2021-02-19,203.95,205.55,200.18,201.07,2605800,57.78363796938774,0.6732175733399226,,194.93571428571428,,193.705462656299,10.87930948478956,12.116809397003244,0.0151840756443335,ABNB
2021-02-22,200.7,205.0,193.5,195.34,3674200,53.74371084547943,0.5827093361580279,,195.64714285714285,,193.85405696027183,9.66796796606812,11.62704111081622,-0.0289114761182248,ABNB
2021-02-23,189.0,191.67,175.0,187.59,5902400,48.776516060213645,0.6021569637134345,,195.91952380952384,,193.28459723661075,7.99050132927988,10.899733154508953,-0.0404828997720147,ABNB
2021-02-24,190.98,208.15,189.0,200.2,5983500,55.91594031235146,0.6328372184913856,,196.9990476190476,,193.91327021510068,7.591112923485326,10.238009108304226,0.0650581366338041,ABNB
2021-02-25,197.41,199.8,180.0,182.06,11568500,45.98637695601779,0.6600952638761663,,196.4904761904762,,192.83570019554608,5.744627842894346,9.339332855222253,-0.0949805638039775,ABNB
2021-02-26,194.18,214.1,185.75,206.35,19368600,56.99813631573917,0.7819223395059125,,196.7333333333333,,194.0642729050419,6.170149471002304,8.705496178378262,0.1252374531214481,ABNB
2021-03-01,195.82,199.69,192.62,196.42,15798500,52.30361290548559,0.7594362774652827,,197.1642857142857,,194.27842991367444,5.6410835161466935,8.092613645931948,-0.0493185324689624,ABNB
2021-03-02,195.63,200.0,188.5,189.9,9144900,49.425142215072114,0.765923347814216,,197.4628571428572,,193.88039083061312,4.64217334050602,7.402525584846762,-0.033757605911388,ABNB
2021-03-03,186.97,188.48,178.8,180.4,10592900,45.496280789574485,0.7852590526848863,,197.4609523809524,,192.6549007551029,3.048814389898581,6.531783345857126,-0.0513210101897168,ABNB
2021-03-04,178.64,183.9,170.87,180.23,9993700,45.42669190194572,0.7848525508449042,,197.51142857142852,,191.5253643228208,1.7521506606204014,5.575856808809781,-0.0009427946238096,ABNB
2021-03-05,182.52,183.5,161.9,179.81,8788500,45.24257385677295,0.7740877706371673,,197.23,,190.46033120256436,0.6827742270193085,4.597240292451686,-0.0023330751611674,ABNB
2021-03-08,179.99,186.4,177.03,180.81,4988500,45.80578798787929,0.7491479533889631,,196.51619047619047,,189.5830283659676,-0.0830651352267466,3.661179206916,0.0055460183195161,ABNB
2021-03-09,184.99,189.46,180.72,183.11,6079900,47.15217572782337,0.751309990209576,,195.9352380952381,,188.99457124178872,-0.4986593348756685,2.829211498557666,0.01264030899056,ABNB
2021-03-10,184.57,191.0,181.55,183.79,6145600,47.5669275563792,0.7444405229118893,,195.14285714285717,,188.5214284016261,-0.7643395843456062,2.110501281977012,0.0037067363237601,ABNB
2021-03-11,189.9,201.0,188.5,197.87,6031200,55.37613264522381,0.79195842229514,,195.0471428571429,,189.3712985469328,0.1594076798514265,1.7202825615518946,0.0738164479269659,ABNB
2021-03-12,196.27,208.7,192.2,206.74,5556500,59.47128449053452,0.7809221934186202,,194.81285714285715,175.46238095238098,190.95027140630256,1.58890302724393,1.6940066546903016,0.0438517157359899,ABNB
2021-03-15,209.54,213.74,203.81,209.99,4329400,60.88760529709022,0.7779798650911631,0.7746418156107369,194.48666666666668,176.49857142857147,192.6811558239114,2.950030116770876,1.9452113471064163,0.015597945395688,ABNB
2021-03-16,209.11,215.49,198.18,200.01,4605600,54.58000414910619,0.7929397882808695,0.7772896357471677,193.88333333333333,177.4630158730159,193.347414385374,3.1866962966934977,2.193508337023833,-0.0486925452379485,ABNB
2021-03-17,195.63,203.46,194.44,201.36,3781900,55.25525521099132,0.7926642282053523,0.7624082162842607,193.47857142857143,178.5957142857143,194.0758312594309,3.4434951978101367,2.443505709181093,0.0067269855289822,ABNB
2021-03-18,196.8,199.9,190.68,191.45,3711500,49.44416279019241,0.8007304368012315,0.7651038407974341,192.97809523809525,179.6536507936508,193.83711932675536,2.814907497000547,2.5177860667449843,-0.0504676729037569,ABNB
2021-03-19,193.01,196.49,187.81,194.39,4444600,51.08763079027191,0.8004754353076742,0.7413083117139229,192.80428571428573,180.54888888888888,193.88738120614127,2.524875452240906,2.5192039438441687,0.015239772450718,ABNB
2021-03-22,196.85,203.3,194.71,195.0,3740400,51.440352877452334,0.7985132752993347,0.7318326462672633,192.5152380952381,181.31,193.98852836921927,2.3175298279734875,2.478869120670032,0.0031331081897251,ABNB
2021-03-23,195.5,196.75,185.74,187.14,3460600,46.76110437539174,0.804909884497508,0.7260833010848704,192.1247619047619,181.7836507936508,193.36593488110847,1.5016604092115244,2.283427378378331,-0.0411425587159798,ABNB
2021-03-24,189.0,189.78,178.51,178.85,3756100,42.38213718148548,0.8079821012595334,0.7292107364313901,191.70857142857145,182.0349206349206,192.04630443737133,0.1840229966862523,1.8635465020399151,-0.0453095341427402,ABNB
2021-03-25,173.1,179.54,170.5,176.16,5264100,41.03916241283618,0.7706787127901713,0.7299685816107248,190.5638095238095,182.24079365079365,190.60209494306488,-1.0649980301832898,1.277837595595274,-0.0151547927306569,ABNB
2021-03-26,178.42,181.0,168.0,174.4,3562900,40.142892668765946,0.7001840773207914,0.7271751663603051,190.1990476190476,182.5009523809524,189.12917722096805,-2.1718378884977483,0.5879024987766697,-0.0100411614994905,ABNB
2021-03-29,175.36,185.46,173.5,182.5,4508800,45.98915445099897,0.5573691549805715,0.7310110187842901,189.06333333333333,182.94000000000003,188.5265247463346,-2.3681159781914687,-0.003301196616958,0.0453986615476669,ABNB
2021-03-30,182.35,185.23,178.38,183.1,2903300,46.40671916521946,0.5350154705896343,0.72623402639096,188.4290476190476,183.48126984126984,188.03320431484963,-2.447044783755586,-0.4920499140446837,0.0032822786579187,ABNB
2021-03-31,185.43,192.27,185.13,187.94,3079500,49.77960567808212,0.5323099956683299,0.7276403906153693,188.33571428571423,184.0834920634921,188.02473119531783,-2.094900175194624,-0.8126199662746718,0.0260903112744539,ABNB
2021-04-01,192.5,193.99,185.37,188.24,2921400,49.98969860569349,0.4991775819685227,0.7270893257342123,188.7090476190476,184.7153968253968,188.04430108665255,-1.771198271903927,-1.0043356274005228,0.0015949814641881,ABNB
2021-04-05,191.66,192.1,185.81,186.69,2591400,48.85255906823316,0.5003700718589715,0.7268807381163744,189.01666666666668,185.34857142857143,187.9211828060478,-1.621047797566149,-1.127678061433648,-0.0082682571698709,ABNB
2021-04-06,188.7,194.48,187.52,190.03,3565600,51.41713642234098,0.5031640402685809,0.7179515282591744,189.50333333333333,186.1561904761905,188.11289346004347,-1.2184963114317782,-1.1458417114332742,0.01773246718403,ABNB
2021-04-07,189.38,190.62,179.47,179.94,6663500,44.20601735976436,0.5404735631594312,0.7175798621563466,189.46190476190475,186.6584126984127,187.36990314549405,-1.6941212574925828,-1.2554976206451358,-0.0545584924442936,ABNB
2021-04-08,181.65,183.9,179.3,180.18,2625300,44.40574100561426,0.5384967044583786,0.7127249466661824,189.3223809523809,187.2522222222222,186.7162755868128,-2.028310360446256,-1.4100601686053598,0.0013328892343213,ABNB
2021-04-09,179.62,182.46,177.25,179.5,2910200,43.92595706249536,0.5383373830512962,0.7043057161953927,189.11809523809524,187.70031746031748,186.06025053346616,-2.321269795974672,-1.592302094079222,-0.0037811432949604,ABNB
2021-04-12,179.68,181.49,176.25,176.49,2619800,41.77437075923999,0.4660949080039672,0.7049507056004267,188.1,188.12444444444444,185.1902277576965,-2.76445716231774,-1.8267331077269255,-0.0169109903838592,ABNB
2021-04-13,175.26,178.61,172.14,177.95,3573600,43.226985792185104,0.4338461762418296,0.7044905755416545,186.7290476190476,188.59777777777776,184.53202523426955,-2.9637127095971607,-2.0541290281009728,0.0082383944117274,ABNB
2021-04-14,179.5,181.47,175.31,176.43,2938600,42.05077340969839,0.4258907568597286,0.686180757367416,185.1309523809524,188.84587301587305,183.7954774856996,-3.2073036630542617,-2.2847639550916305,-0.0085784148162274,ABNB
2021-04-15,177.0,178.24,174.25,175.35,2894900,41.19310353080751,0.3997365070193046,0.6774475604834582,183.95666666666668,188.9309523809524,183.02770680518145,-3.4477546532208976,-2.517362094717484,-0.0061402205537872,ABNB
2021-04-16,176.01,179.51,172.94,178.69,3058300,44.93368872289346,0.4068582526126399,0.6676899878539267,182.87714285714287,188.90222222222224,182.63336982289223,-3.3304127833717416,-2.6799722324483355,0.0188684843043827,ABNB
2021-04-19,177.32,178.72,171.5,174.58,3125700,41.44054253590716,0.3791022913563224,0.6566464777521192,182.07380952380956,188.98650793650796,181.9012452935384,-3.5283880957877045,-2.8496554051162093,-0.0232693715833661,ABNB
2021-04-20,173.18,175.0,165.52,169.57,4575000,37.60304354997708,0.3812927360394782,0.6572322566454895,180.89190476190475,188.9211111111111,180.7802229941258,-4.042945527500592,-3.088313429593086,-0.0291172683881677,ABNB
2021-04-21,168.09,170.32,164.12,167.07,3878600,35.82049490944857,0.3806543862562112,0.6422549035055949,179.56190476190474,189.0042857142857,179.53383908556893,-4.599445560580506,-3.39053985579057,-0.0148529346493491,ABNB
2021-04-22,168.49,176.92,168.43,170.71,3856500,40.26090507793851,0.3724174594686868,0.6052148059133442,178.7795238095238,188.8504761904762,178.73167189597174,-4.692664155607986,-3.650964715754053,0.0215533241229745,ABNB
2021-04-23,172.92,178.25,172.0,174.25,3329900,44.29726431265118,0.3504204947295136,0.606471752874308,178.56047619047618,188.72952380952376,178.32424717815613,-4.429827850793544,-3.8067373427619513,0.0205248392479717,ABNB
2021-04-26,175.21,176.03,171.07,174.88,2549400,45.00936576621228,0.3470450593700247,0.6046432891791851,178.49952380952382,188.6874603174603,178.01113379832375,-4.123163192026766,-3.870022512614914,0.0036089747875952,ABNB
2021-04-27,176.16,179.61,174.8,177.94,2883000,48.45610287034634,0.350358118511284,0.5821978221438714,178.66809523809525,188.45253968253968,178.00466708938524,-3.5918086794085866,-3.814379745973649,0.0173463903883929,ABNB
2021-04-28,174.44,181.67,173.35,180.0,2409700,50.6965130805584,0.3139732980208237,0.5757723976918466,178.54904761904763,188.1152380952381,178.1860609903502,-2.9702425093583718,-3.645552298650593,0.0115104360735891,ABNB
2021-04-29,182.75,183.22,173.35,177.68,3116000,48.15775136977454,0.3164432941259247,0.558625303168653,178.29095238095238,187.96142857142857,178.14005544577293,-2.63448277488186,-3.4433383938968465,-0.0129726713040383,ABNB
2021-04-30,173.0,176.45,172.01,172.71,3580000,43.1702657183219,0.3129817545914035,0.5600185244306152,177.56571428571428,187.7880952380952,177.6464140416117,-2.737867794595388,-3.3022442740365547,-0.028370292230344,ABNB
2021-05-03,173.19,173.44,167.8,168.11,3149700,39.130830473882135,0.3220527261404746,0.561474665282287,176.60714285714286,187.59238095238092,176.77946731055613,-3.154618248278666,-3.272719068884977,-0.0269953603108605,ABNB
2021-05-04,167.01,169.04,161.96,168.9,4658000,40.16629627135112,0.3237147642639832,0.5614612881801849,175.76,187.42936507936503,176.06315210050556,-3.382162127964648,-3.2946076807009117,0.004688296768787,ABNB
2021-05-05,169.3,170.18,162.12,162.33,3590100,34.85578630961201,0.3343461687912778,0.5616518883508218,174.44095238095238,187.05809523809523,174.81468372773233,-4.045996653325886,-3.4448854752259064,-0.0396755234910007,ABNB
2021-05-06,161.91,162.1,150.7,153.64,8529000,29.33180372194988,0.3351657757768956,0.5601588614263469,173.18857142857144,186.38888888888889,172.88971247975667,-5.213206077431408,-3.798549595667007,-0.0550190968450495,ABNB
2021-05-07,156.5,157.05,148.78,151.21,7134000,27.99570072156376,0.3347558500866399,0.5606723050415401,171.80904761904762,185.6888888888889,170.9188295270515,-6.262122793440796,-4.291264235221765,-0.0159426043531262,ABNB
2021-05-10,150.28,150.5,144.52,146.73,5827200,25.673779897535848,0.3425386903341863,0.559695104457813,170.24857142857144,184.83650793650796,168.7198450245923,-7.369939333978721,-4.906999254973155,-0.0300754359052024,ABNB
2021-05-11,139.1,144.35,136.01,142.73,8257400,23.77755469534775,0.3474057660672468,0.5615080706514723,168.64095238095237,183.92936507936508,166.35713184053844,-8.47298717247449,-5.620196838473422,-0.0276394295776983,ABNB
2021-05-12,140.9,144.77,138.75,140.25,5307500,22.66007947323037,0.341677981696557,0.5473581939766303,166.8457142857143,182.79587301587304,163.98375621867132,-9.43847494141022,-6.383852459060782,-0.0175281892388713,ABNB
2021-05-13,142.25,142.33,131.28,135.75,13005400,20.75409230223488,0.3492911270077223,0.5461901680071862,164.90857142857143,181.50873015873017,161.41705110788303,-10.446324618594502,-7.196346890967526,-0.0326115855887608,ABNB
2021-05-14,137.68,142.25,131.67,141.2,20325400,28.588324496109387,0.3925828793524947,0.5535547679253857,163.28238095238095,180.37412698412697,159.57913737080273,-10.682146164894505,-7.893506745752922,0.039362366245097,ABNB
2021-05-17,137.16,137.79,130.25,132.5,39755000,24.43546174111978,0.4184242469283824,0.5650824583502618,161.08285714285714,179.14619047619047,157.11739760982067,-11.43918987023045,-8.602643370648428,-0.0635946796328648,ABNB
2021-05-18,134.0,138.4,131.49,135.02,18555600,27.711103813484858,0.4321774929473627,0.5638795406955908,159.1990476190476,178.0836507936508,155.10854328165516,-11.70092850124604,-9.22230039676795,0.0188402701874476,ABNB
2021-05-19,129.95,138.38,129.71,138.19,15565500,31.72078926473021,0.4442658348565891,0.5662979352582027,157.7047619047619,177.1336507936508,153.57049389241377,-11.519772972825251,-9.68179491197941,0.0232066342016688,ABNB
2021-05-20,138.84,138.89,135.65,136.2,8903600,30.574290485981884,0.4442170795212645,0.5649566878161658,156.2347619047619,176.10396825396825,151.99135808401252,-11.405308977933458,-10.02649772517022,-0.0145051560999813,ABNB
2021-05-21,136.55,137.17,132.88,134.71,10056500,29.70847016317192,0.4293995594083676,0.5631607335900712,154.5204761904762,175.1415873015873,150.42032553092048,-11.304514577628652,-10.282101095661906,-0.0110000740049352,ABNB
2021-05-24,135.5,137.98,134.39,135.91,8543600,31.39353301386061,0.4203244639883859,0.5594799370503079,152.69476190476192,174.32126984126984,149.10120502810952,-11.00099173320038,-10.4258792231696,0.0088685822567793,ABNB
2021-05-25,137.4,137.85,133.56,133.99,10435800,30.14821745600033,0.4165925898685943,0.5412344928833535,150.74761904761905,173.27031746031747,147.7274591164632,-10.790983900862528,-10.498900158708189,-0.0142277316667392,ABNB
2021-05-26,134.94,135.76,133.72,134.75,8179200,31.3097499515639,0.4078515762642078,0.5108409228358796,148.69095238095238,172.51936507936506,146.54769010587563,-10.442846893750414,-10.487689505716633,0.0056560394885898,ABNB
2021-05-27,135.07,143.82,134.5,143.17,21270200,42.68159974040014,0.4752872073978116,0.4575611265773538,146.93714285714285,171.51650793650796,146.24062736897787,-9.379402265457458,-10.266032057664797,0.0606115255831297,ABNB
2021-05-28,144.76,145.0,140.25,140.4,12000600,40.31690254162298,0.476190864205732,0.44986097024401,145.16190476190476,170.6273015873016,145.70966124452534,-8.660300037986218,-9.94488565372908,-0.0195372437805255,ABNB
2021-06-01,143.89,146.09,141.59,144.31,16552100,44.95297654999343,0.4899301597798349,0.450799804301802,143.8095238095238,169.90365079365077,145.58241931320484,-7.686299147084412,-9.493168352400147,0.0274682718562756,ABNB
2021-06-02,145.35,152.7,144.4,151.0,16245100,51.84538442429505,0.5188213060033681,0.4513120576684695,142.9947619047619,169.4369841269841,146.07492664836803,-6.301924669630466,-8.854919615846212,0.0453160733669379,ABNB
2021-06-03,149.55,151.12,143.8,144.19,11083300,45.58799354078376,0.5363146089822736,0.4595273620459067,141.81809523809522,168.86492063492062,145.90356968033458,-5.688731849179334,-8.221682062512835,-0.0461479624963687,ABNB
2021-06-04,145.83,151.57,145.0,150.73,8534900,51.62620929702246,0.5516384956537481,0.4694084752864728,141.2657142857143,168.40333333333334,146.34233607303145,-4.621771869063139,-7.501700023822896,0.0443582825038823,ABNB
2021-06-07,150.96,150.96,146.4,148.97,7780200,50.01757931655163,0.5202193771852112,0.4694327591095348,141.04333333333332,167.8979365079365,146.58121461184675,-3.873563658213556,-6.7760727507010285,-0.0117452134309362,ABNB
2021-06-08,150.6,150.75,145.8,147.01,7125800,48.21579285108555,0.5193567883599812,0.4687648470709959,140.84333333333333,167.32492063492066,146.62019510167886,-3.3995707447762413,-6.10077234951607,-0.0132443317156267,ABNB
2021-06-09,148.57,149.36,144.46,144.85,5606500,46.2389551030615,0.5113426444823813,0.4690720998318014,140.7538095238095,166.70682539682537,146.45926827425353,-3.1617749209176798,-5.512972863796392,-0.0148018874605154,ABNB
2021-06-10,142.15,147.45,141.04,146.12,9482500,47.59931350298413,0.5025684244355206,0.442626756557321,140.9152380952381,165.88539682539684,146.42842570386685,-2.838125487171851,-4.9780033884714845,0.0087294777117224,ABNB
2021-06-11,145.87,148.95,145.2,148.44,4819900,50.084124070933775,0.5002283831874249,0.4335445761931591,141.30523809523808,164.95999999999998,146.6112960944244,-2.3671394580300102,-4.455830602383189,0.0157526342653149,ABNB
2021-06-14,149.25,149.6,146.85,149.21,6107500,50.91604731970568,0.4834618908764833,0.4320048900720609,141.94619047619048,163.99523809523808,146.84754190402217,-1.9097328601777972,-3.946611053942111,0.0051738734599335,ABNB
2021-06-15,149.2,153.74,148.84,151.78,12007700,53.69028553212316,0.4691671876155538,0.4252029565110348,142.45,163.22968253968253,147.29594718547472,-1.3245882851063584,-3.4222065001749606,0.0170773943234365,ABNB
2021-06-16,150.95,152.35,146.92,149.15,9632800,50.54206933898956,0.4095549208712474,0.4253890148781239,143.24285714285713,162.4009523809524,147.46449744134063,-1.0608472273141558,-2.9499346456027995,-0.0174795930150091,ABNB
2021-06-17,148.99,152.29,148.61,150.7,8171300,52.316651901695735,0.407153293376185,0.4161181949050466,143.98952380952383,161.754126984127,147.7586340375824,-0.7184763446870477,-2.503642985419649,0.0103385946716922,ABNB
2021-06-18,150.38,154.8,149.4,152.52,11628900,54.386224485245386,0.4027474434048407,0.4155665104421388,144.67190476190476,161.0895238095238,148.1914854887113,-0.2968640993844929,-2.062287208212618,0.0120046293569132,ABNB
2021-06-21,152.52,152.61,145.83,149.7,8040200,50.71340885298317,0.4054931973320641,0.4163633104398844,145.31476190476192,160.37047619047618,148.3286231715557,-0.1881153134706892,-1.687452829264232,-0.0186624435637802,ABNB
2021-06-22,149.75,151.65,148.4,149.68,5790400,50.687264695950255,0.4019914381708333,0.409595923230172,146.02761904761903,159.77587301587303,148.45147561050518,-0.1023649505641799,-1.3704352535242217,-0.0001336094597486,ABNB
2021-06-23,149.76,154.59,147.8,151.58,9335700,53.15783430152018,0.4026522998979571,0.401900695329343,146.77380952380952,159.34301587301587,148.73588691864109,0.11755188590746,-1.0728378256378854,0.012613856418049,ABNB
2021-06-24,152.67,153.63,149.86,150.73,8173400,51.9049899459976,0.3985042087884213,0.4011443753043289,147.5709523809524,158.93936507936507,148.91716992603733,0.2207055112238833,-0.8141291582655317,-0.0056233815614453,ABNB
2021-06-25,151.23,153.17,149.28,149.67,6452400,50.31249764314014,0.4009103407800994,0.4009599609414175,148.28142857142856,158.54682539682537,148.98560902367032,0.2144503115575844,-0.6084132643009085,-0.0070572862813819,ABNB
2021-06-28,148.62,150.93,147.08,149.94,6451000,50.72718253137275,0.3461449999745738,0.3891299649545269,148.6038095238095,158.03,149.07237183970028,0.2286440974422703,-0.4410017919522727,0.0018023435338602,ABNB
2021-06-29,149.75,149.94,145.77,146.08,7479000,44.95126263354511,0.3520150788629783,0.3915901934099661,148.8742857142857,157.44238095238097,148.80033803609118,-0.070761273701521,-0.3669536883021223,-0.0260807972282575,ABNB
2021-06-30,145.54,154.09,144.24,153.14,9798600,55.035674653972336,0.3759040697209575,0.4002711204607949,149.2947619047619,156.89,149.19485276008288,0.2586591480371112,-0.2418311210342756,0.0471981188383191,ABNB
