Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,Ticker
2015-01-02,7.61,7.71,7.47,7.55,13500450,57.52795516159343,0.387939214210394,0.4385126091588532,7.555714285714286,6.742380952380952,7.451448026464005,0.1727276719756743,0.2094875401831838,-0.0052840281466052,AVGO
2015-01-05,7.55,7.6,7.42,7.43,15596030,52.314393396705,0.3820424897348956,0.4401589373538086,7.569523809523808,6.760793650793651,7.449498205876368,0.1499355615382107,0.1975771444541892,-0.0160217045312656,AVGO
2015-01-06,7.47,7.48,7.19,7.27,22194340,46.29057855124516,0.2564076537452134,0.4425167106303874,7.546666666666666,6.7773015873015865,7.4331801871603345,0.1176062948246627,0.1815829745282839,-0.0217695671842397,AVGO
2015-01-07,7.32,7.5,7.28,7.46,30907000,53.184390108457485,0.2730812913181639,0.4419368103637423,7.529999999999999,6.799047619047619,7.43561835196394,0.1060935497376984,0.1664850895701668,0.0257991226702413,AVGO
2015-01-08,7.58,7.87,7.57,7.83,33349230,63.11347967253749,0.3039748135163791,0.4485272385071282,7.542380952380951,6.823968253968253,7.471471229058127,0.1253802189745485,0.1582641154510431,0.0484070957870421,AVGO
2015-01-09,7.88,7.98,7.74,7.91,23432400,64.84937959457197,0.2996033843583594,0.4426770479676435,7.551904761904761,6.8533333333333335,7.511337480961934,0.1454437892430258,0.1557000502094397,0.0101652717768507,AVGO
2015-01-12,7.93,7.97,7.75,7.79,18698220,60.26777019114503,0.2797955589330636,0.3622644939297659,7.567619047619049,6.891904761904762,7.536670437238122,0.1499329820260992,0.1545466365727716,-0.0152869218969056,AVGO
2015-01-13,7.83,8.1,7.67,7.74,24337010,58.41587433925383,0.2781471742179415,0.3539415909385879,7.576190476190476,6.932539682539683,7.555154942943747,0.1477529138985804,0.1531878920379334,-0.006439172281021,AVGO
2015-01-14,7.63,7.81,7.54,7.8,20989140,60.00410221601343,0.2729063795371051,0.3458532367484317,7.5928571428571425,6.97047619047619,7.577413584494316,0.149147414210085,0.1523797964723637,0.0077220460939103,AVGO
2015-01-15,7.81,7.96,7.62,7.64,18373140,54.07320045130289,0.2816254770648258,0.3498788790305665,7.605238095238096,7.005238095238095,7.583103258631196,0.135776753038642,0.1490591877856193,-0.0207261305171168,AVGO
