Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,return_1d,return_5d,return_21d,return_63d,log_return,vol_21d,vol_63d,rsi_14,rsi_overbought,rsi_oversold,sma_50,price_vs_sma_50,momentum_10d,momentum_21d,vol_avg_20d,vol_ratio,future_return_5d,target,Ticker
2015-04-06,65.02,65.27,65.02,65.07,18928,55.645171849542265,0.0952793430671281,0.1911304344120545,64.55333333333334,63.99015873015873,64.78691632052957,0.2831460632122144,0.2522243405746074,-0.001842469429555,-0.0018407731247124248,0.00046125461254598044,0.009150124069478682,-0.03227245687091018,-0.0018424694295553054,0.09527934306712842,0.19113043441205776,83.41013824884747,1,0,64.0184,0.01642652737338013,0.0013850415512464131,0.009150124069478682,32309.0,0.5858429539756724,0.0015368065160596966,1,DEL
2015-04-07,65.15,65.58,64.21,64.62,50613,49.17228160343909,0.0906676994857345,0.1913619349508588,64.59238095238095,63.953809523809525,64.77174210957233,0.2332265905591839,0.2484247905715227,-0.0069396531105405,-0.006915629322268191,-0.009958633369082093,0.012852664576802564,-0.03422507846360767,-0.006939653110540368,0.09066769948573439,0.19136193495086207,65.53191489361706,0,0,64.08120000000001,0.008408082245650705,-0.0064575645756458355,0.012852664576802564,33872.0,1.4942430325932925,0.009439801918910584,1,DEL
2015-04-08,64.46,64.8,64.07,64.6,36294,48.900022768445936,0.0886724692879449,0.1746747724215964,64.6447619047619,63.95777777777778,64.7561291905203,0.1898625981323505,0.2367123520836883,-0.0003095496077961,-0.0003095017022595181,-0.01026505285736179,0.017322834645669305,0.0038850038850037905,-0.0003095496077961873,0.08867246928794487,0.1746747724216,49.39024390243872,0,0,64.14320000000001,0.007121565497199889,-0.006459550907413125,0.017322834645669305,34719.55,1.0453476499551404,0.010216718266254032,1,DEL
2015-04-09,64.61,64.81,63.94,64.59,18257,48.754666922416845,0.0839845312389914,0.1742520135945366,64.71809523809524,63.967619047619046,64.74102653683664,0.1529265630613849,0.2199551942792276,-0.0001548107441746,-0.00015479876160973127,-0.01026662580447446,0.024425059476606004,0.009692043145224316,-0.000154810744174636,0.08398453123899127,0.17425201359454015,44.73684210526331,0,0,64.2046,0.006002685165860555,-0.005236408439858398,0.024425059476606004,34188.25,0.5340138790373886,0.004799504567270407,1,DEL
2015-04-10,64.92,64.98,64.41,64.79,16415,51.83814808066543,0.0724435859666748,0.1724330094304962,64.76142857142857,63.96746031746032,64.7454786698515,0.1381997371446885,0.2036041028523198,0.0030916704174845,0.003096454559529338,-0.006135910415707824,0.014245460237946261,-0.00015432098765422175,0.0030916704174845273,0.0724435859666741,0.17243300943049977,43.62416107382561,0,0,64.27080000000001,0.008078318614362923,-0.0013871763255238756,0.014245460237946261,32322.6,0.5078489972960096,-0.010032412409322511,0,DEL
2015-04-13,64.74,65.27,64.74,65.17,19744,57.11776785319988,0.0680427191578128,0.1704467029107809,64.79428571428572,63.98761904761905,64.78407151804682,0.1554000902054468,0.1939633003229452,0.0058479698824231,0.0058651026392961825,0.0015368065160596966,0.010700992555831235,0.019874804381846634,0.00584796988242312,0.06804271915781208,0.17044670291078456,53.59116022099435,0,0,64.333,0.013010430105855564,0.0019987699876997667,0.010700992555831235,31990.0,0.6171928727727415,-0.013503145619149892,0,DEL
2015-04-14,65.27,65.29,64.48,65.23,28986,57.90247635029304,0.0634879373116363,0.1702954879365324,64.84904761904762,64.0047619047619,64.82461047095164,0.1718915338831976,0.1895489470349957,0.0009202454637157,0.0009206690194876188,0.009439801918910584,0.01794631710362049,0.016835541699142587,0.0009202454637157457,0.0634879373116355,0.17029548793653612,55.675675675675905,0,0,64.408,0.012762389765246684,-0.0006128389765588382,0.01794631710362049,32496.95,0.891960630151445,-0.02820787980990347,0,DEL
2015-04-15,65.27,65.27,65.04,65.26,30429,58.31323231763992,0.0563964754850235,0.1697722403974541,64.92714285714285,64.01539682539682,64.86419133722877,0.185246465153412,0.1886884506586789,0.00045980535717,0.000459911083857234,0.010216718266254032,0.02577805721471238,0.01037312277442326,0.0004598053571700481,0.05639647548502245,0.16977224039745775,59.21787709497199,0,0,64.4714,0.012231780293277428,-0.00015320974413957078,0.02577805721471238,31056.65,0.9797901576634955,-0.028961078761875703,0,DEL
2015-04-16,65.27,65.27,64.69,64.9,38880,51.783643075760935,0.0598430527046384,0.1701376357329058,64.9752380952381,64.01904761904763,64.86744667020797,0.1648807108477257,0.1839269026964883,-0.0055316674551302,-0.0055163959546429275,0.004799504567270407,0.015808420723117944,0.003556517705272988,-0.0055316674551302136,0.05984305270463721,0.17013763573290946,50.476190476190716,0,0,64.4954,0.0062733156163075066,-0.0055163959546429275,0.015808420723117944,31440.8,1.23660975547696,-0.022342064714946153,0,DEL
2015-04-17,64.73,65.03,63.47,64.14,34170,41.27586860516752,0.0617852411047898,0.1608327878164403,64.95238095238095,64.04079365079366,64.80131515473452,0.0864188724503947,0.1644252966472696,-0.0117794294450355,-0.011710323574730452,-0.010032412409322511,-0.007428040854224771,0.02182571292018487,-0.011779429445035551,0.061785241104788634,0.16083278781644417,33.33333333333316,0,0,64.5146,-0.00580643761257138,-0.0161067648412333,-0.007428040854224771,32113.75,1.0640302051302013,-0.001403180542563165,0,DEL
2015-04-20,64.57,65.23,63.94,64.29,37883,43.703924139639085,0.061952639010617,0.157130451873462,64.93047619047618,64.04746031746032,64.75483195884956,0.0359269036496385,0.1387256180477434,0.0023359038885865,0.002338634237605275,-0.013503145619149892,-0.007104247104246952,0.006575857209957903,0.0023359038885865193,0.06195263901061587,0.15713045187346608,31.297709923664357,0,0,64.52600000000001,-0.0036574404116170856,-0.011987090825264946,-0.007104247104246952,30602.05,1.2379236031573049,-0.0018665422305180757,0,DEL
2015-04-21,60.09,64.69,60.09,63.39,64956,34.48955613861535,0.0764608659241693,0.1587340301270763,64.8547619047619,64.04857142857144,64.63075632622687,-0.075836626364051,0.0958131691653845,-0.0140979778575204,-0.013999066728884846,-0.02820787980990347,-0.024469067405355593,0.0011054958938723214,-0.014097977857520426,0.07646086592416829,0.15873403012708037,23.29545454545469,0,1,64.5264,-0.017611396265714396,-0.019034354688950872,-0.024469067405355593,32157.0,2.0199645489318034,0.011358258400378629,1,DEL
2015-04-22,63.17,63.62,62.74,63.37,25777,34.316407490471555,0.0761514777543122,0.1439489968884321,64.7752380952381,64.08190476190477,64.5161421147517,-0.1641318521427166,0.0438241649037642,-0.0003155569606494,-0.00031550717778838777,-0.028961078761875703,-0.02567650676506783,0.03427452260486352,-0.00031555696064951446,0.07615147775431119,0.1439489968884366,23.229461756373993,0,1,64.53280000000001,-0.018018743956561778,-0.019040247678018485,-0.02567650676506783,31598.85,0.8157575354799305,0.0052075114407448275,1,DEL
2015-04-23,63.5,63.86,63.06,63.45,23290,35.706811899242844,0.076585996157263,0.1426501061265382,64.7004761904762,64.10666666666667,64.41922010431973,-0.2250568084975839,-0.0099520297765053,0.0012616308249709,0.0012624270159382611,-0.022342064714946153,-0.02414641648723459,0.025206010664081457,0.0012616308249711861,0.07658599615726212,0.1426501061265427,25.423728813559535,0,1,64.5336,-0.01679125292870698,-0.017649790989317293,-0.02414641648723459,30349.1,0.7674033167375639,-0.0063041765169425945,0,DEL
2015-04-24,63.6,64.08,63.23,64.05,34381,45.09426710714979,0.0848771187969716,0.1430430541039054,64.65857142857142,64.14746031746031,64.38565464029067,-0.2223620385933031,-0.0524340315398649,0.0094118341823465,0.009456264775413725,-0.001403180542563165,-0.013553057138456892,0.04180221210149648,0.009411834182346597,0.08487711879697081,0.14304305410390986,37.313432835820976,0,0,64.5626,-0.007939581119719596,-0.011421515665998028,-0.013553057138456892,31006.6,1.1088284429766566,-0.014363778298204455,0,DEL
2015-04-27,64.12,65.12,63.7,64.17,48050,46.76831473921698,0.0853221486733807,0.1430622217349255,64.62476190476191,64.18984126984127,64.36604967299151,-0.2081440617327814,-0.0835760375784482,0.0018717834196808,0.0018735362997659433,-0.0018665422305180757,-0.01094327990135624,0.0434146341463415,0.0018717834196808347,0.08532214867337995,0.14306222173492997,43.902439024390254,0,0,64.556,-0.005979304789639928,-0.015344483658124908,-0.01094327990135624,32140.2,1.4950124765869535,-0.016674458469689846,0,DEL
2015-04-28,64.07,64.44,63.72,64.11,64678,46.012901784449255,0.0846324428312922,0.143096948157137,64.58047619047618,64.23095238095237,64.34277242999228,-0.1994189338593202,-0.1067446168346226,-0.000935453763258,-0.0009350163627863672,0.011358258400378629,-0.014298892988929945,0.042100130039011585,-0.0009354537632580268,0.08463244283129143,0.14309694815714152,43.43163538874005,0,0,64.5482,-0.006788725324641032,-0.01717001379733263,-0.014298892988929945,33281.95,1.9433356519074154,-0.016534082046482657,0,DEL
2015-04-29,63.98,64.05,63.08,63.7,24310,41.12466363405188,0.0853993223846887,0.1437736271945637,64.50571428571428,64.26619047619047,64.28433857272026,-0.2230169797264665,-0.1299990894129914,-0.0064157954210482,-0.006395258150054595,0.0052075114407448275,-0.024053929829937037,0.036109303838646856,-0.0064157954210482815,0.08539932238468788,0.14377362719456818,39.22518159806302,0,0,64.5618,-0.013348450631797792,-0.0239043824701195,-0.024053929829937037,32956.25,0.7376446045894178,-0.0031397174254317317,0,DEL
2015-04-30,63.41,63.57,62.63,63.05,73859,34.810729571599225,0.0908610153320686,0.1442396973535856,64.39999999999999,64.28190476190476,64.17212597520023,-0.2908158250101067,-0.1621624365324144,-0.0102565001671891,-0.010204081632653184,-0.0063041765169425945,-0.03401256319901946,0.015952304221720892,-0.01025650016718922,0.09086101533206795,0.14423969735359002,31.004366812227076,0,0,64.5266,-0.022883585993993205,-0.02850539291217269,-0.03401256319901946,35409.0,2.085882120364879,0.0026962727993655733,1,DEL
2015-05-01,63.02,63.84,62.74,63.13,54064,36.110857408178994,0.0912879719126674,0.142913175925148,64.29857142857142,64.30809523809523,64.07738725018203,-0.3342386715997349,-0.1965776835458785,0.0012680299686056,0.0012688342585249757,-0.014363778298204455,-0.03263867606497095,0.026837996096291672,0.0012680299686056867,0.09128797191266673,0.14291317592515237,26.168224299065628,0,1,64.50280000000001,-0.021282797025865663,-0.015746803866541925,-0.03263867606497095,37198.2,1.4534036593168487,0.012672263583082488,1,DEL
2015-05-04,63.34,63.38,62.42,63.1,48492,35.82233484845654,0.0913532779924102,0.1416239857374293,64.19904761904762,64.32412698412699,63.98853386380185,-0.366843595034922,-0.2306308658436872,-0.0004753228323668,-0.00047520988436566824,-0.016674458469689846,-0.03206013192207391,0.016266709615074815,-0.0004753228323668561,0.09135327799240954,0.14162398573743373,24.941176470588402,0,1,64.473,-0.021295736199649418,-0.018509877119303186,-0.03206013192207391,38676.4,1.253787839612787,0.01283676703644998,1,DEL
