Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,Ticker
2015-01-02,26.17,26.28,25.92,25.96,29011360,47.4762178861605,0.2253480184889356,0.2048304028218126,25.908571428571424,26.55873015873016,26.049577799700565,-0.0979428339419534,-0.187480060220304,-0.0030769255044791,GOOG
2015-01-05,25.88,25.94,25.37,25.41,41196796,40.38250534434404,0.2361144216290548,0.2075810835092687,25.86714285714286,26.510317460317463,25.99143436336415,-0.1383574105052289,-0.177655530277289,-0.0214140945038165,GOOG
2015-01-06,25.47,25.53,24.79,24.83,57998800,34.52421062720411,0.2426475508897663,0.2115945395189161,25.78428571428571,26.451111111111107,25.885849421240135,-0.2147123361829521,-0.1850668914584216,-0.0230901978119973,GOOG
2015-01-07,25.08,25.09,24.72,24.79,41301082,34.15619679259482,0.2323581523340908,0.2068719841851083,25.72761904761905,26.40206349206349,25.786226746581946,-0.2752785903614168,-0.2031092312390207,-0.0016122534729761,GOOG
2015-01-08,24.63,24.91,24.28,24.87,67071641,35.63398331113468,0.2322866597448187,0.204066476849111,25.670476190476197,26.34730158730159,25.702933405983583,-0.3132119394714792,-0.2251297728855124,0.0032219117682141,GOOG
2015-01-09,24.97,24.98,24.47,24.54,41427428,32.403298094280075,0.229113115727994,0.2018599536522132,25.58238095238095,26.296507936507936,25.597212187257803,-0.3656872193785503,-0.2532412621841199,-0.0133578185325479,GOOG
2015-01-12,24.48,24.53,24.11,24.36,46535413,30.764865634501625,0.2263309708161548,0.1942125334203756,25.503333333333337,26.255714285714287,25.48473835205255,-0.4169919290564152,-0.285991395558579,-0.007361996441069,GOOG
2015-01-13,24.67,24.88,24.35,24.54,47441480,34.34025389402984,0.2277184240956558,0.1911018440743944,25.427142857142854,26.226507936507936,25.3988530473205,-0.4380769075327322,-0.3164084979534096,0.007361996441069,GOOG
2015-01-14,24.47,24.89,24.38,24.78,44714427,38.87292011903182,0.2240904743328223,0.1914098883304732,25.38571428571429,26.19761904761905,25.342593679382272,-0.4304588489881595,-0.3392185681603596,0.009732436918231,GOOG
2015-01-15,25.01,25.02,24.62,24.82,54373520,39.62104409365912,0.2225288155036894,0.1895696059969369,25.35761904761905,26.175396825396824,25.29508516307479,-0.4163938874619219,-0.3546536320206721,0.0016129035754647,GOOG
2015-01-16,24.73,25.14,24.73,25.14,45965854,45.38027033888671,0.1864417256762026,0.1904365769578014,25.38809523809524,26.16269841269841,25.280986511886177,-0.3751020356967842,-0.3587433127558945,0.0128104233856402,GOOG
