Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,Ticker
2015-01-02,74.63,75.11,73.81,74.65,2236135,55.79283533247941,0.1869056715103234,0.2096297603367984,74.09761904761905,71.28444444444445,74.1866185676844,0.7830232909074084,0.8207182044404355,0.0030858010667228,HON
2015-01-05,74.41,74.41,73.0,73.23,3317874,46.251178988231125,0.1844969718402881,0.2134540236606258,74.0395238095238,71.36809523809525,74.09965324334945,0.6085209303567183,0.7782787496236921,-0.0192053509122209,HON
2015-01-06,73.21,74.1,72.64,73.05,4447456,45.19602837621908,0.1832326696935805,0.2135563744872041,73.99761904761905,71.44603174603175,74.00423022122678,0.4505088708898626,0.7127247738769262,-0.0024610348762699,HON
2015-01-07,73.79,74.37,73.36,73.59,2742113,48.95807868663461,0.1845557731794473,0.2077473739763876,73.96619047619048,71.55809523809523,73.96657292838798,0.3646531676507152,0.643110452631684,0.0073650087417993,HON
2015-01-08,74.21,75.07,74.21,74.92,2700317,56.82013899485687,0.191875552172839,0.2076156923658225,74.03142857142856,71.67174603174603,74.05324811671635,0.3993285777322768,0.5943540776518026,0.0179117306373801,HON
2015-01-09,74.99,75.06,73.6,73.68,2785237,49.20962270255357,0.200280767709532,0.2069459968829803,74.01761904761904,71.78539682539683,74.01931646974214,0.3230277898733078,0.5400888200961036,-0.0166894856288363,HON
2015-01-12,73.89,74.01,72.42,73.33,2898872,47.28448613039905,0.189936152651138,0.2021713348165826,74.05142857142857,71.91555555555556,73.95665133612921,0.2316465140308281,0.4784003588830485,-0.0047615898413434,HON
2015-01-13,73.83,74.65,72.99,73.84,3595282,50.33351640896093,0.1908959551314532,0.1943937740417883,74.09571428571428,72.08015873015873,73.94604666920837,0.1980954117151299,0.4223393694494648,0.0069307880888886,HON
2015-01-14,72.75,73.7,72.75,73.5,3255569,48.32671679726365,0.1756752995020908,0.1947441504639461,74.1952380952381,72.23317460317462,73.90549697200761,0.1424289308499737,0.3663572817295666,-0.0046151839758057,HON
2015-01-15,73.93,74.03,72.32,72.33,3672738,42.10547682060505,0.1857145864644725,0.1959757304239662,74.24142857142857,72.38015873015873,73.76226997455238,0.0038591360883657,0.2938576526013264,-0.0160464253576015,HON
