Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,Ticker
2015-01-02,28.14,28.51,27.71,27.9,23605607,49.45641062561908,0.1903727733338889,0.2722958667234759,28.254761904761907,26.679523809523808,28.078139902420684,0.2407673284860401,0.3549538948251828,0.002152853361101,INTC
2015-01-05,27.77,27.96,27.57,27.58,32784975,45.59037784561386,0.1932613051839939,0.2720481399968526,28.20047619047619,26.705555555555552,28.03285445674608,0.1730175370682012,0.3185666232737865,-0.0115358164621642,INTC
2015-01-06,27.68,27.8,27.05,27.07,30847578,40.19721225789822,0.2014135541654011,0.2748490496463187,28.120952380952374,26.722539682539683,27.945322233405523,0.0772817456488859,0.2703096477488064,-0.018664768738946,INTC
2015-01-07,27.35,27.68,27.06,27.64,27725167,47.65086921386803,0.2158891372643883,0.2748192260870649,28.06095238095238,26.756349206349203,27.91756566673229,0.0468644532759334,0.2256206088542318,0.0208378952732594,INTC
2015-01-08,27.9,28.39,27.82,28.15,31765371,53.2637040783458,0.2234255653497398,0.2732546531508509,28.042380952380952,26.78857142857143,27.938696060665723,0.0631829341429828,0.193133073911982,0.0182833556862302,INTC
2015-01-09,28.22,28.48,27.93,28.21,22850524,53.89007695721732,0.2219396912274523,0.2701791062286536,28.03761904761905,26.82952380952381,27.96336005515066,0.0800343600742294,0.1705133311444315,0.0021291704282053,INTC
2015-01-12,28.31,28.39,27.8,28.08,29400781,52.25593031903565,0.2175726063339021,0.2472973398489382,28.04428571428572,26.88920634920635,27.9739636865006,0.081954601358543,0.1528015851872538,-0.0046189458562945,INTC
2015-01-13,28.29,28.77,27.85,28.01,31477952,51.352932214562905,0.2159609133556054,0.2453721421431666,28.037142857142857,26.95301587301587,27.977239715000543,0.0769410627481512,0.1376294806994333,-0.0024959898855932,INTC
2015-01-14,27.87,28.32,27.55,27.89,34250293,49.76531463803628,0.2113683307391787,0.2427936372590666,28.04190476190476,27.0068253968254,27.96930883181868,0.062563605856841,0.1226163057309148,-0.0042933876326196,INTC
2015-01-15,28.03,28.3,27.65,27.77,47181771,48.16181745091312,0.2097944977667632,0.2357426082188647,28.05190476190476,27.06920634920635,27.951189847107887,0.0410135914165614,0.1062957628680441,-0.0043119003206893,INTC
