Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,Ticker
2015-01-02,76.49,76.85,75.82,76.1,5756961,44.55458706294596,0.1863356508308979,0.1811404913304276,77.01666666666667,76.47698412698412,76.84913142319569,-0.3497903228480084,-0.2760002332641243,-0.000525486086711,JNJ
2015-01-05,76.07,76.25,75.49,75.57,8079279,41.67869143361367,0.1861971842042486,0.1800453847583382,76.88047619047619,76.46936507936509,76.7328467483597,-0.4042170082790193,-0.3016435882671033,-0.0069888858350116,JNJ
2015-01-06,75.97,76.45,74.95,75.2,7428022,39.74972206159504,0.1865100741277456,0.1802400654067214,76.73238095238095,76.4588888888889,76.59349704396337,-0.4717682061719443,-0.3356685118480715,-0.0049081480768344,JNJ
2015-01-07,75.66,77.06,75.59,76.86,7931714,50.76045720162306,0.2008076324917003,0.178950592196485,76.63,76.5031746031746,76.61772458542124,-0.386895005590361,-0.3459138105965294,0.0218343541809037,JNJ
2015-01-08,77.22,77.53,76.99,77.46,9925854,54.03051019472485,0.2032406355106013,0.173018060517612,76.55619047619047,76.52809523809523,76.69429507765568,-0.2681266005126019,-0.3303563685797439,0.0077760889499082,JNJ
2015-01-09,77.55,77.55,76.27,76.41,7364760,48.02031575425314,0.2077141851857298,0.1662124007867815,76.44857142857143,76.56873015873016,76.66845007059608,-0.2557795412578088,-0.3154410031153569,-0.0136480964271309,JNJ
2015-01-12,76.57,77.04,75.94,76.14,6838966,46.585297339312,0.2001397420976312,0.1654253327760238,76.39095238095238,76.61492063492064,76.62040915508734,-0.2647295143059409,-0.3052987053534737,-0.0035398267051239,JNJ
2015-01-13,76.78,77.42,75.9,76.28,10155188,47.462005220597554,0.1994659276630727,0.1595079934284373,76.32333333333334,76.6874603174603,76.58946286826122,-0.2575566497219341,-0.2957502942271658,0.0018370297778669,JNJ
2015-01-14,75.62,76.03,75.36,75.72,8887694,44.327884128520594,0.1865150753436674,0.1537750496953572,76.30809523809523,76.77539682539683,76.51042078932838,-0.2936741301792409,-0.2953350614175808,-0.0073684543910962,JNJ
2015-01-15,74.97,75.67,74.23,74.62,10834811,38.89475451556498,0.1926317525634852,0.15529835213857,76.25714285714285,76.8320634920635,76.33856435393488,-0.406373875492747,-0.3175428242326141,-0.0146337585481102,JNJ
2015-01-16,74.31,76.17,74.26,75.75,14092276,46.190985043403145,0.1957021618559305,0.1546169757259479,76.30142857142857,76.9231746031746,76.28505850357718,-0.3998979052911693,-0.3340138404443251,0.0150298765964666,JNJ
2015-01-20,73.94,74.3,73.0,73.75,20467800,37.62732153519431,0.212056758295967,0.1599326029849282,76.20523809523809,76.9604761904762,76.0545986396156,-0.5498110579219286,-0.3771732839398458,-0.0267574491695493,JNJ
2015-01-21,73.21,74.34,73.1,74.19,11702890,40.25175106837472,0.1896493739884217,0.1600485834155344,76.03476190476191,76.99904761904763,75.88508967237783,-0.6258990144511927,-0.4269184300421152,0.0059483749815053,JNJ
