Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,Ticker
2015-01-02,29.65,29.75,29.33,29.57,9921100,46.12041315484524,0.1994167217337978,0.2029598398291643,29.67761904761905,29.835873015873016,29.79735564595155,-0.0401530639070308,-0.0674124594032396,-0.0020270277210879,KO
2015-01-05,29.96,30.15,29.53,29.57,26292600,46.12041315484524,0.1927991212285885,0.2023415561962195,29.62190476190477,29.82968253968254,29.77668695086505,-0.0530867834325476,-0.0645473242091012,0.0,KO
2015-01-06,29.76,30.14,29.65,29.8,16897500,50.10045413100813,0.1946480894239182,0.2009614248011653,29.587142857142855,29.820476190476192,29.778806318968225,-0.0442674835345044,-0.0604913560741819,0.0077480596469729,KO
2015-01-07,30.04,30.25,29.88,30.17,13412300,55.76179558028336,0.2001461144162363,0.2019995652338763,29.569047619047616,29.813650793650798,29.814369380880205,-0.007337633374675,-0.0498606115342805,0.012339659659611,KO
2015-01-08,30.3,30.57,30.24,30.53,21743628,60.46205964702192,0.2020227581059646,0.2013516217163423,29.58142857142857,29.80555555555556,29.879426709891096,0.0503975783844445,-0.0298089735505355,0.0118617535758166,KO
2015-01-09,30.51,30.57,30.14,30.2,12733549,54.72240137166594,0.1834387123306,0.2002111090235925,29.614761904761902,29.79968253968254,29.90856973626463,0.0687326009491791,-0.0101006586505925,-0.0108678823659625,KO
2015-01-12,30.22,30.31,29.79,29.92,11415829,50.35452463166493,0.1824849264147559,0.1990232498554943,29.649523809523814,29.78269841269841,29.909608851149667,0.0599781872782507,0.003915110535176,-0.0093147712745473,KO
2015-01-13,30.06,30.35,29.79,29.92,12529500,50.35452463166493,0.1822392266843524,0.1982706801548641,29.686666666666664,29.77015873015873,29.91055350104515,0.0524358040628136,0.0136192492407035,0.0,KO
2015-01-14,29.53,29.9,29.53,29.87,13447646,49.535674083587175,0.1730289719767719,0.1973677834283812,29.741904761904763,29.7615873015873,29.90686681913196,0.0419403664545612,0.0192834726834751,-0.001672520878258,KO
2015-01-15,30.06,30.08,29.59,29.74,11193100,47.37840361499049,0.1705560725560149,0.1966430450818635,29.802380952380958,29.755555555555556,29.891697108301777,0.0228691219870782,0.0200006025441957,-0.0043616911960093,KO
2015-01-16,29.73,29.89,29.65,29.85,15114900,49.386955252499085,0.1688879665717129,0.1943423755385647,29.874285714285715,29.75857142857143,29.887906462092523,0.016441575786203,0.0192887971925972,0.003691898806602,KO
2015-01-20,29.97,30.41,29.9,30.29,17047300,56.53381389218046,0.1473743716469767,0.1959793905561553,29.92809523809524,29.76507936507937,29.924460420084117,0.046318095705331,0.0246946568951439,0.0146327852005347,KO
