Date,Open,High,Low,Close,Volume,c_rsi_14d_dividend_and_split_adjusted,c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_21d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_exponential_moving_average_21d_close_dividend_and_split_adjusted,c_macd_26d_12d_dividend_and_split_adjusted,c_macd_signal_9d_dividend_and_split_adjusted,c_log_returns_dividend_and_split_adjusted,Ticker
2015-01-02,0.47989,0.48347,0.47229,0.47989,113680480,47.79809869,0.251101014,0.276796771,0.486154286,0.464693175,0.484046626,0.001690317,0.003054865,0.003967099,NVDA
2015-01-05,0.4799,0.48133,0.46964,0.47179,197952000,42.42500634,0.237292736,0.27930731,0.484621905,0.46531254,0.482932387,0.000538819,0.002551656,-0.01702294,NVDA
2015-01-06,0.4725,0.47298,0.457,0.45748,197764840,34.95016169,0.255393472,0.286279566,0.48262381,0.46574619,0.480618534,-0.00151103,0.001739119,-0.030800803,NVDA
2015-01-07,0.46082,0.46488,0.45486,0.45618,321808000,34.35792464,0.252927161,0.285386455,0.480427619,0.466232698,0.478396849,-0.003203521,0.000750591,-0.002845699,NVDA
2015-01-08,0.46154,0.47632,0.4613,0.47346,283781360,47.17219839,0.289102767,0.292371948,0.479360476,0.466867302,0.477948044,-0.003114577,-2.24428e-05,0.037179963,NVDA
2015-01-09,0.47512,0.47894,0.46857,0.47536,209544040,48.36575782,0.289855008,0.289348449,0.478463333,0.467663968,0.477712768,-0.002857832,-0.000589521,0.00400498,NVDA
2015-01-12,0.47655,0.47668,0.46511,0.4694,190732280,44.93607478,0.282972109,0.261233146,0.477804762,0.468767302,0.476957061,-0.003099552,-0.001091527,-0.012617128,NVDA
2015-01-13,0.47299,0.48252,0.46548,0.46858,236720000,44.46885182,0.282955951,0.261086443,0.477118571,0.469880159,0.47619551,-0.003319024,-0.001537026,-0.001748439,NVDA
2015-01-14,0.46369,0.47203,0.46249,0.4706,155261240,45.95948481,0.261253785,0.257806595,0.47724381,0.470878095,0.475686828,-0.003292012,-0.001888023,0.004301631,NVDA
2015-01-15,0.47394,0.4768,0.46702,0.46726,188950280,43.8629057,0.262282605,0.257105191,0.477278095,0.471723333,0.474920752,-0.003499771,-0.002210373,-0.007122628,NVDA
2015-01-16,0.46654,0.47632,0.46511,0.47584,181512000,50.15355915,0.265885897,0.259137747,0.47797619,0.472700952,0.47500432,-0.002938218,-0.002355942,0.018195815,NVDA
2015-01-20,0.47918,0.4818,0.47131,0.47727,140308760,51.13635902,0.225706386,0.259019738,0.47784,0.47371254,0.475210291,-0.002350697,-0.002354893,0.003000705,NVDA
2015-01-21,0.47465,0.48514,0.47131,0.48395,144780000,55.54566429,0.230631687,0.259764211,0.477930952,0.474773651,0.47600481,-0.001330722,-0.002150059,0.013899227,NVDA
2015-01-22,0.4849,0.49361,0.47989,0.49229,159712400,60.35561178,0.235758311,0.248998411,0.478191905,0.475684603,0.477485282,0.000148868,-0.001690273,0.017086378,NVDA
2015-01-23,0.49277,0.49456,0.48871,0.49372,120416000,61.13216501,0.22783804,0.243461067,0.478112381,0.476780159,0.478961165,0.001420468,-0.001068125,0.002900581,NVDA
2015-01-26,0.49157,0.49396,0.48848,0.49146,133240320,59.15986152,0.227341213,0.240598503,0.478072857,0.477690952,0.480097423,0.002220263,-0.000410447,-0.004588002,NVDA
2015-01-27,0.48394,0.48442,0.46702,0.46797,357948840,43.46379389,0.283559389,0.260589433,0.477005714,0.478155556,0.47899493,0.000947736,-0.000138811,-0.048976361,NVDA
2015-01-28,0.4737,0.47561,0.46011,0.46035,272728560,39.77697268,0.28745755,0.262914291,0.475552857,0.478495397,0.477299936,-0.000667923,-0.000244633,-0.016417122,NVDA
2015-01-29,0.46058,0.47417,0.45844,0.47155,235341240,46.90581687,0.30242177,0.263103464,0.474667143,0.478847302,0.476777215,-0.001032693,-0.000402245,0.024038071,NVDA
2015-01-30,0.46822,0.47368,0.45701,0.45785,298200000,40.57824575,0.316453923,0.26960618,0.473344762,0.47902873,0.475056559,-0.002399591,-0.000801714,-0.029483521,NVDA
2015-02-02,0.46059,0.46965,0.45153,0.46774,259605960,46.21855841,0.323320564,0.272492866,0.472856667,0.479410476,0.474391417,-0.002654231,-0.001172218,0.021370966,NVDA
2015-02-03,0.47108,0.4799,0.46869,0.47942,183468000,52.01182101,0.335088466,0.262300204,0.472834286,0.47965746,0.474848561,-0.001891749,-0.001316124,0.024664454,NVDA
2015-02-04,0.47799,0.48598,0.47644,0.48061,181516000,52.57236671,0.329401302,0.260254203,0.473254286,0.479798889,0.475372328,-0.001177876,-0.001288474,0.00247909,NVDA
2015-02-05,0.48108,0.48871,0.48061,0.48836,140448000,56.16365693,0.312124734,0.260917763,0.474724762,0.479965397,0.476553026,1.30831e-05,-0.001028163,0.015996708,NVDA
