rebalance_date,data_date,ticker,score,rank
2015-04-10,2015-04-10,ANET,0.606464,1
2015-04-10,2015-04-10,META,0.595824,2
2015-04-10,2015-04-10,MU,0.595181,3
2015-04-10,2015-04-10,NVDA,0.592106,4
2015-04-10,2015-04-10,NFLX,0.591134,5
2015-04-10,2015-04-10,UAL,0.590816,6
2015-04-10,2015-04-10,AMD,0.590758,7
2015-04-10,2015-04-10,GEF,0.588231,8
2015-04-10,2015-04-10,AMGN,0.586777,9
2015-04-10,2015-04-10,MELI,0.584652,10
2015-04-10,2015-04-10,INTC,0.577221,11
2015-04-10,2015-04-10,COST,0.575884,12
2015-04-10,2015-04-10,FDX,0.574871,13
2015-04-10,2015-04-10,GOOG,0.57469,14
2015-04-10,2015-04-10,PFE,0.571026,15
2015-04-17,2015-04-17,IBKR,0.622103,1
2015-04-17,2015-04-17,META,0.609515,2
2015-04-17,2015-04-17,ANET,0.602838,3
2015-04-17,2015-04-17,BKR,0.586792,4
2015-04-17,2015-04-17,NVDA,0.577524,5
2015-04-17,2015-04-17,MU,0.574588,6
2015-04-17,2015-04-17,INTC,0.574504,7
2015-04-17,2015-04-17,COST,0.571276,8
2015-04-17,2015-04-17,AVGO,0.571245,9
2015-04-17,2015-04-17,WMT,0.570503,10
2015-04-17,2015-04-17,IBM,0.568758,11
2015-04-17,2015-04-17,MELI,0.566343,12
2015-04-17,2015-04-17,PEP,0.564106,13
2015-04-17,2015-04-17,UAL,0.563947,14
2015-04-17,2015-04-17,V,0.563561,15
2015-04-24,2015-04-24,ANET,0.598159,1
2015-04-24,2015-04-24,MU,0.591849,2
2015-04-24,2015-04-24,IBM,0.591243,3
2015-04-24,2015-04-24,FDX,0.580884,4
2015-04-24,2015-04-24,MSFT,0.57905,5
2015-04-24,2015-04-24,NVDA,0.579002,6
2015-04-24,2015-04-24,F,0.578868,7
2015-04-24,2015-04-24,PFE,0.570265,8
2015-04-24,2015-04-24,AVGO,0.568718,9
2015-04-24,2015-04-24,V,0.56496,10
2015-04-24,2015-04-24,INTC,0.563804,11
2015-04-24,2015-04-24,T,0.563755,12
2015-04-24,2015-04-24,BKR,0.563181,13
2015-04-24,2015-04-24,COST,0.562327,14
2015-04-24,2015-04-24,CRM,0.56228,15
2015-05-01,2015-05-01,NFLX,0.651405,1
2015-05-01,2015-05-01,BN,0.608963,2
2015-05-01,2015-05-01,ANET,0.606033,3
2015-05-01,2015-05-01,NVDA,0.601327,4
2015-05-01,2015-05-01,BA,0.599834,5
2015-05-01,2015-05-01,FDX,0.598576,6
2015-05-01,2015-05-01,AMD,0.588351,7
2015-05-01,2015-05-01,META,0.58826,8
2015-05-01,2015-05-01,PFE,0.586591,9
2015-05-01,2015-05-01,IBM,0.585274,10
2015-05-01,2015-05-01,RJF,0.584816,11
2015-05-01,2015-05-01,HON,0.584716,12
2015-05-01,2015-05-01,T,0.573976,13
2015-05-01,2015-05-01,COST,0.573297,14
2015-05-01,2015-05-01,INTC,0.566781,15
2015-05-08,2015-05-08,NFLX,0.648803,1
2015-05-08,2015-05-08,META,0.606781,2
2015-05-08,2015-05-08,BN,0.591431,3
2015-05-08,2015-05-08,IBM,0.583849,4
2015-05-08,2015-05-08,ANET,0.580618,5
2015-05-08,2015-05-08,COST,0.57858,6
2015-05-08,2015-05-08,KDP,0.577554,7
2015-05-08,2015-05-08,UAL,0.576697,8
2015-05-08,2015-05-08,FDX,0.576067,9
2015-05-08,2015-05-08,PFE,0.572064,10
2015-05-08,2015-05-08,RJF,0.571244,11
2015-05-08,2015-05-08,AMGN,0.571183,12
2015-05-08,2015-05-08,AVGO,0.570705,13
2015-05-08,2015-05-08,SYF,0.568806,14
2015-05-08,2015-05-08,GE,0.568163,15
2015-05-15,2015-05-15,AMD,0.606477,1
2015-05-15,2015-05-15,NFLX,0.604826,2
2015-05-15,2015-05-15,META,0.595483,3
2015-05-15,2015-05-15,IBM,0.593153,4
2015-05-15,2015-05-15,V,0.590409,5
2015-05-15,2015-05-15,BA,0.582511,6
2015-05-15,2015-05-15,AVGO,0.578937,7
2015-05-15,2015-05-15,MU,0.577487,8
2015-05-15,2015-05-15,FDX,0.576881,9
2015-05-15,2015-05-15,BKNG,0.569878,10
2015-05-15,2015-05-15,GE,0.569331,11
2015-05-15,2015-05-15,COST,0.567761,12
2015-05-15,2015-05-15,ANET,0.566294,13
2015-05-15,2015-05-15,RJF,0.563862,14
2015-05-15,2015-05-15,JNJ,0.563698,15
2015-05-22,2015-05-22,NFLX,0.601388,1
2015-05-22,2015-05-22,AMD,0.600407,2
2015-05-22,2015-05-22,FDX,0.5902,3
2015-05-22,2015-05-22,HON,0.581943,4
2015-05-22,2015-05-22,IBM,0.581747,5
2015-05-22,2015-05-22,META,0.581608,6
2015-05-22,2015-05-22,BA,0.581181,7
2015-05-22,2015-05-22,GE,0.578822,8
2015-05-22,2015-05-22,AVGO,0.577257,9
2015-05-22,2015-05-22,WMT,0.576158,10
2015-05-22,2015-05-22,RJF,0.571513,11
2015-05-22,2015-05-22,BKNG,0.567682,12
2015-05-22,2015-05-22,ANET,0.566607,13
2015-05-22,2015-05-22,UAL,0.566558,14
2015-05-22,2015-05-22,MSFT,0.565629,15
2015-05-29,2015-05-29,NFLX,0.631771,1
2015-05-29,2015-05-29,FDX,0.597285,2
2015-05-29,2015-05-29,AMD,0.596539,3
